Team,Team_Name
4640,Tualatin Robotics
4641,RoboSharks
4644,Robotic Adrenalin
4650,The Agency
4654,Blind Brook Robotics
4662,Bulldog Robotics
4666,The Loco-Motives
4666,Loco-Motives
4683,Gatorzillas-USBs
4688,Ronald Reagan Robotic Rattlers
4688,Reagan Robotics
4702,Dragons
4704,SST Stallions II
4707,Panthers
4713,MechaCardinals
4717,Estrogenius
4718,Toltech T-STEM Archimedes
4719,Toltech T-STEM Galileo
4720,Toltech T-STEM Newton
4721,Toltech T-STEM Einstein
4732,The Sophomores
4733,Robotech
4736,Puma LAB
4751,Bot of the Rings
4753,Tech Nerds
4756,Queens School of Inquiry
4760,Mr Bot
4761,Rogue Robotics
4769,Deadringer
4774,Jesuits
4775,Ridgebotics
4780,Team Blu
4780,Terraroids
4780,Team Unicorn
4781,Mech Knights
4782,The Super Trouble Makers
4783,Dynamic
4784,Tetrions
4784,Tetricons
4784,Tetricons
4785,Anonymous Autonomous
4790,Area 52
4790,Area 52
4800,RoboCats
4808,Robobubbles
4808,BLue Cheese
4809,Botman
4811,Toltech T-STEM Copernicus
4821,RoboBots
4822,Captain America
4847,Dat Robot
4855,Batteries In Black
4855,Batteries In Black
4856,Minnie MASH
4856,Minnie MASH
4856,Minnie-MASH
4858,Cyber Ninjas
4861,GriffinBots
4874,The Fellowship
4885,GearHeads
4890,Hive Voltage 2.0
4890,Hive Voltage 2
4890,Hive Voltage 2.0
4902,Clutch
4906,Junkyard Dawgs
4914,Vulcan Robotics
4916,Techtris
4916,Techtris
4922,WHS Robotics
4924,Tuxedo Pandas
4926,Tech Titans
4932,Moody Martians
4933,Short Circuits II
4934,Panadmonium
4936,Sparks
4937,BHS
4937,Binary Hacker Society
4943,SEStematic Elim
4945,Teton Gravity Robotics II
4945,TGR 1
4946,RoboRaiders
4950,CHS Robotics
4953,2B7G
4960,Tiger-Bots
4962,Ballistic Bots
4963,NOVA
4963,Nova
4964,Rolla Patriots
4964,Rolla Patriots
4965,Animatores Romani
4965,Animatores Romani
4968,Daemons Robotics
4969,Robot-X
4970,Loose Screws
4970,Loose Screws
4976,Accident Waiting to Happen
4976,Accidents Waiting to Happen
4976,Robo Scouts
